USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
NY	36001000100	2367456	245021	0.914	0.095	42.6637545	-73.7369092                                                                                                                                        
NY	36001000200	2065162	0	0.797	0.	42.6644127	-73.7515041                                                                                                                                                
NY	36001000300	5769372	55326	2.228	0.021	42.6806139	-73.7830038                                                                                                                                         
NY	36001000401	9065815	86327	3.5	0.033	42.7026692	-73.8668421                                                                                                                                           
NY	36001000403	3138700	0	1.212	0.	42.6768745	-73.8052643                                                                                                                                                
NY	36001000404	1840728	84514	0.711	0.033	42.690637	-73.8284254                                                                                                                                          
NY	36001000501	547290	0	0.211	0.	42.6703394	-73.7824279                                                                                                                                                 
NY	36001000502	777447	0	0.3	0.	42.6670082	-73.7867331                                                                                                                                                   
NY	36001000600	506881	0	0.196	0.	42.6645893	-73.7736469                                                                                                                                                 
NY	36001000700	1583409	14749	0.611	0.006	42.6690764	-73.763715                                                                                                                                          
NY	36001000800	344413	0	0.133	0.	42.6603638	-73.7652144                                                                                                                                                 
NY	36001001100	1734134	264496	0.67	0.102	42.6525522	-73.7500591                                                                                                                                         
NY	36001001400	751968	25632	0.29	0.01	42.6559725	-73.7688498                                                                                                                                            
NY	36001001500	582401	0	0.225	0.	42.6575003	-73.7816778                                                                                                                                                 
NY	36001001600	915231	0	0.353	0.	42.6586329	-73.7895279                                                                                                                                                 
NY	36001001700	1367250	0	0.528	0.	42.6609261	-73.7988658                                                                                                                                                
NY	36001001801	8049526	20810	3.108	0.008	42.6460318	-73.8221262                                                                                                                                         
NY	36001001802	1905940	0	0.736	0.	42.6690192	-73.8204195                                                                                                                                                
NY	36001001901	870995	0	0.336	0.	42.650638	-73.7922657                                                                                                                                                  
NY	36001001902	1172741	0	0.453	0.	42.6449334	-73.7963715                                                                                                                                                
NY	36001002000	2891046	7882	1.116	0.003	42.6350182	-73.7852769                                                                                                                                          
NY	36001002100	1460594	0	0.564	0.	42.6503316	-73.7775366                                                                                                                                                
NY	36001002200	248392	0	0.096	0.	42.6504203	-73.7654808                                                                                                                                                 
NY	36001002300	640377	7375	0.247	0.003	42.6450868	-73.7637113                                                                                                                                           
NY	36001002500	666421	115684	0.257	0.045	42.6407094	-73.7559718                                                                                                                                         
NY	36001002600	4169455	452838	1.61	0.175	42.6292541	-73.7656313                                                                                                                                         
NY	36001012700	1515133	660347	0.585	0.255	42.7702924	-73.6881176                                                                                                                                        
NY	36001012800	1627522	154325	0.628	0.06	42.7645455	-73.7005201                                                                                                                                         
NY	36001012900	1499516	338272	0.579	0.131	42.7830979	-73.7090109                                                                                                                                        
NY	36001013000	5129074	47672	1.98	0.018	42.7744614	-73.7192264                                                                                                                                          
NY	36001013100	1935068	482922	0.747	0.186	42.7479043	-73.6924663                                                                                                                                        
NY	36001013200	853278	130213	0.329	0.05	42.7289031	-73.7009417                                                                                                                                          
NY	36001013300	1395172	0	0.539	0.	42.7310632	-73.7106672                                                                                                                                                
NY	36001013400	1236351	205707	0.477	0.079	42.7151114	-73.7063321                                                                                                                                        
NY	36001013503	11558463	1212130	4.463	0.468	42.7642175	-73.7420167                                                                                                                                      
NY	36001013505	2966730	12128	1.145	0.005	42.7359486	-73.744075                                                                                                                                          
NY	36001013506	8148523	28448	3.146	0.011	42.7460925	-73.7290222                                                                                                                                         
NY	36001013507	5575234	2491	2.153	0.001	42.750565	-73.776095                                                                                                                                            
NY	36001013508	18011095	2460841	6.954	0.95	42.7808641	-73.7775287                                                                                                                                       
NY	36001013601	13717313	220922	5.296	0.085	42.71876	-73.7356457                                                                                                                                         
NY	36001013602	8047367	662505	3.107	0.256	42.6911799	-73.7261881                                                                                                                                        
NY	36001013703	16133189	120545	6.229	0.047	42.7453514	-73.8147594                                                                                                                                       
NY	36001013705	8556307	16731	3.304	0.006	42.7029906	-73.7899256                                                                                                                                         
NY	36001013706	2742331	79375	1.059	0.031	42.6996786	-73.7650276                                                                                                                                         
NY	36001013707	8138009	41196	3.142	0.016	42.7183889	-73.7714882                                                                                                                                         
NY	36001013801	20943060	21908	8.086	0.008	42.7469391	-73.8808746                                                                                                                                        
NY	36001013802	5455750	1645	2.106	0.001	42.7649387	-73.843939                                                                                                                                           
NY	36001013901	3874080	8227	1.496	0.003	42.7168235	-73.843955                                                                                                                                           
NY	36001013902	4521602	0	1.746	0.	42.7231026	-73.8271334                                                                                                                                                
NY	36001014001	4137017	17276	1.597	0.007	42.7056536	-73.8100987                                                                                                                                         
NY	36001014002	2378652	0	0.918	0.	42.6930948	-73.7942738                                                                                                                                                
NY	36001014100	16409537	0	6.336	0.	42.6357148	-73.8590708                                                                                                                                               
NY	36001014201	12561609	24310	4.85	0.009	42.6124506	-73.795887                                                                                                                                          
NY	36001014202	7780570	23783	3.004	0.009	42.6215878	-73.8637582                                                                                                                                         
NY	36001014203	11051046	4325	4.267	0.002	42.6068772	-73.8460798                                                                                                                                         
NY	36001014301	32183494	2015945	12.426	0.778	42.5647707	-73.7820599                                                                                                                                     
NY	36001014302	47000852	91674	18.147	0.035	42.5639838	-73.8415944                                                                                                                                       
NY	36001014401	126345582	7854627	48.782	3.033	42.4912815	-73.8751024                                                                                                                                    
NY	36001014402	3487340	14194	1.346	0.005	42.4755465	-73.8112139                                                                                                                                         
NY	36001014501	55227395	196048	21.323	0.076	42.6323672	-73.952994                                                                                                                                       
NY	36001014502	88157638	1005322	34.038	0.388	42.5836894	-73.9436334                                                                                                                                     
NY	36001014503	5539441	12385	2.139	0.005	42.6536623	-73.9342681                                                                                                                                         
NY	36001014606	17693340	64643	6.831	0.025	42.7469088	-73.977372                                                                                                                                         
NY	36001014607	22253794	40235	8.592	0.016	42.7294529	-73.9109795                                                                                                                                        
NY	36001014608	4013589	10833	1.55	0.004	42.6894672	-73.8507315                                                                                                                                          
NY	36001014609	6477236	9640	2.501	0.004	42.6741883	-73.8589353                                                                                                                                          
NY	36001014611	15806880	162691	6.103	0.063	42.6907181	-73.9305259                                                                                                                                       
NY	36001014612	3279144	3689	1.266	0.001	42.7053446	-74.033633                                                                                                                                           
NY	36001014613	67705971	1747974	26.141	0.675	42.6979246	-74.0134699                                                                                                                                     
NY	36001014614	6879420	30446	2.656	0.012	42.6840603	-73.8753076                                                                                                                                         
NY	36001014615	5862100	216734	2.263	0.084	42.6889487	-73.9123118                                                                                                                                        
NY	36001014700	108164308	451486	41.762	0.174	42.6853531	-74.1056328                                                                                                                                     
NY	36001014801	165837000	1822037	64.03	0.703	42.6039157	-74.1303637                                                                                                                                     
NY	36001014802	159191853	1088427	61.464	0.42	42.4794765	-74.1786077                                                                                                                                     
NY	36001014803	149682671	1926625	57.793	0.744	42.5003339	-74.0502911                                                                                                                                    
NY	36003940200	1528841	26577	0.59	0.01	42.2312992	-78.3028177                                                                                                                                           
